time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/loss,train/clip_range,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/approx_kl,train/explained_variance,train/value_loss,rollout/ep_len_mean,rollout/ep_rew_mean
82,18,83968,4657,-0.0017497895751148462,0.2,324,-1.2393688783049583,-2.5143366656266153e-05,0.0003,0.006103515625,0.004127945,0.7420635223388672,0.0016664697468513623,253.73,0.23519447
83,18,84992,4665,-0.011560450308024883,0.2,328,-1.3368045389652252,-0.003454751436947845,0.0003,0.01416015625,0.0044610486,0.7448585033416748,0.002986771607538685,252.7,0.23805559
84,18,86016,4672,-0.019728507846593857,0.2,332,-1.431412547826767,-0.000940600031754002,0.0003,0.0,0.0018760841,0.683214545249939,0.002266161856823601,246.54,0.25716669000000003
85,18,87040,4679,-0.018340757116675377,0.2,336,-1.467756099998951,-0.0008627610513940454,0.0003,0.0,0.0034722753,0.42455124855041504,0.007179504347732291,247.68,0.25400003000000004
86,18,88064,4685,-0.0066681914031505585,0.2,340,-1.5626500993967056,-0.002785230812150985,0.0003,0.03955078125,0.009605608,0.8333656787872314,0.001222871316713281,245.64,0.26066669000000003
87,18,89088,4692,-0.02356872148811817,0.2,344,-1.5974716693162918,-0.0012910797959193587,0.0003,0.0,0.0022995607,0.6747905015945435,0.0034684954152908176,247.73,0.25386113
88,19,90112,4699,-0.02541195973753929,0.2,348,-1.5367631986737251,-0.002156256538000889,0.0003,0.0,0.0022626617,0.898306667804718,0.0004828156579606002,246.12,0.25933335
89,19,91136,4705,-0.01727287657558918,0.2,352,-1.547422043979168,-0.0017860914813354611,0.0003,0.0,0.0030515485,0.7289553880691528,0.00182129476161208,252.23,0.23836113
90,19,92160,4712,-0.021055400371551514,0.2,356,-1.5495930090546608,-0.0032055368792498484,0.0003,0.037353515625,0.010635586,0.6795679330825806,0.001598742739588488,248.83,0.24980557
91,19,93184,4717,-0.01603829488158226,0.2,360,-1.6404623463749886,0.00014199642464518547,0.0003,0.0,0.00031796756,0.7102686166763306,0.003080798138398677,248.4,0.25200002
92,19,94208,4722,-0.021992633119225502,0.2,364,-1.584793582558632,-0.0009347755694761872,0.0003,0.0,0.002314615,0.7178199291229248,0.0015029802270873915,248.17,0.25363891000000005
93,20,95232,4728,-0.03202066570520401,0.2,368,-1.5597772970795631,-0.002341806422919035,0.0003,0.0,0.0017185907,0.7370612621307373,0.0009452719423279632,246.91,0.25913888999999996
94,20,96256,4733,-0.016130480915308,0.2,372,-1.5893184542655945,-0.001931399805471301,0.0003,0.0,0.0018444043,0.6033505201339722,0.006273348204558715,244.5,0.26683333000000004
95,20,97280,4738,-0.01072595827281475,0.2,376,-1.4995954036712646,-0.0011679337767418474,0.0003,0.0,0.0043479726,0.7223353981971741,0.0025108178524533287,248.19,0.25558333000000005
96,20,98304,4742,-0.014788025990128517,0.2,380,-1.4806617498397827,-0.0017979455005843192,0.0003,0.007568359375,0.0018342936,0.8004004955291748,0.0006020333457854576,246.62,0.25994444
97,20,99328,4748,-0.012125495821237564,0.2,384,-1.4967680796980858,-0.0005890008542337455,0.0003,0.0,0.0008563962,0.49703449010849,0.0038582069682888687,249.71,0.2493611
98,21,100352,4753,-0.012149212881922722,0.2,388,-1.455158144235611,-0.002864444482838735,0.0003,0.005126953125,0.0034484887,0.7031034231185913,0.001067908357072156,251.1,0.24450000000000002
99,21,101376,4758,-0.015315021388232708,0.2,392,-1.395164392888546,-0.001248006519745104,0.0003,0.0,0.0018502094,0.6705073118209839,0.0022438373416662216,247.04,0.25677778
100,21,102400,4763,-0.013265055604279041,0.2,396,-1.412412941455841,-0.0007937762711662799,0.0003,0.0,0.0008426825,0.611113429069519,0.004849345452385023,248.03,0.25502778000000004
101,21,103424,4768,-0.01843428984284401,0.2,400,-1.5158401057124138,-0.004756672627991065,0.0003,0.07080078125,0.015304476,0.6557425260543823,0.001183596166811185,246.01,0.26163889000000007
102,21,104448,4773,-0.02027811110019684,0.2,404,-1.5752669274806976,-0.002025696012424305,0.0003,0.0009765625,0.00231768,0.5883663296699524,0.0030463927614619024,247.43,0.25669445
