rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/explained_variance,train/loss,train/entropy_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/value_loss,train/learning_rate
21.3,0.8083,15,4445,69,70656,0.11157369613647461,-0.005400579422712326,-0.8719758838415146,0.0006991219,0.2,0.0,272,-0.002200528862886131,0.01969386904966086,0.0003
20.16,0.8185599999999998,16,4465,70,71680,0.12759053707122803,-0.00413176603615284,-0.8210426643490791,0.003550664,0.2,0.0,276,-0.0014381423825398088,0.009480967186391354,0.0003
19.38,0.8245800000000001,16,4485,71,72704,0.13282662630081177,0.0044979527592659,-0.783560261130333,0.0012670758,0.2,0.0,280,-2.758232585620135e-05,0.01610983780119568,0.0003
21.67,0.80297,16,4391,72,73728,0.07998228073120117,-0.003071141429245472,-0.8314669691026211,0.005502524,0.2,0.02392578125,284,-0.0009943374461727217,0.01267849316354841,0.0003
22.29,0.7983900000000002,16,4410,73,74752,0.11554473638534546,-0.011219498701393604,-0.7960622161626816,0.013261473,0.2,0.090576171875,288,-0.003801953324000351,0.01697646436514333,0.0003
20.32,0.8171199999999998,17,4430,74,75776,0.17288613319396973,-0.006091440096497536,-0.7981718629598618,0.0032561729,0.2,0.0,292,-0.0003336623194627464,0.017426304169930518,0.0003
22.04,0.80164,17,4450,75,76800,0.10745108127593994,-0.005642663687467575,-0.7957358136773109,0.006360193,0.2,0.030517578125,296,-0.002016384096350521,0.01606067956890911,0.0003
21.87,0.8031699999999999,17,4469,76,77824,-0.007704377174377441,-0.0030555357225239277,-0.8080704361200333,0.00025994104,0.2,0.0,300,-0.0003401186550036073,0.013132812222465873,0.0003
21.32,0.8081199999999998,17,4488,77,78848,0.08109986782073975,-0.0019023423083126545,-0.7798644416034222,0.00012826332,0.2,0.0,304,-0.00014113588258624077,0.016128255636431277,0.0003
21.03,0.81073,17,4507,78,79872,0.05981326103210449,-0.008059656247496605,-0.7749491073191166,0.003789038,0.2,0.0,308,-0.0010428268869873136,0.014082857349421829,0.0003
20.41,0.8163100000000001,17,4524,79,80896,0.13428527116775513,-0.005156103055924177,-0.7628353461623192,0.012038738,0.2,0.088623046875,312,-0.004417376680066809,0.010926943039521575,0.0003
19.39,0.82449,18,4436,80,81920,0.006020963191986084,0.003601572010666132,-0.7507730685174465,0.0076076435,0.2,0.062255859375,316,-0.003422397334361449,0.014706983172800392,0.0003
23.22,0.7890199999999998,18,4454,81,82944,0.08536851406097412,-0.0011188406497240067,-0.7479912899434566,0.00052934256,0.2,0.0,320,-0.0004646950401365757,0.012004979304037988,0.0003
22.65,0.79515,18,4471,82,83968,0.0917656421661377,-0.002191771287471056,-0.7269548997282982,0.0033221394,0.2,0.000732421875,324,-0.00127678997523617,0.010226497717667371,0.0003
21.22,0.80802,18,4489,83,84992,0.03187006711959839,-0.0032779816538095474,-0.7320681437849998,0.002520432,0.2,0.0,328,-0.0013199937529861927,0.015360784193035215,0.0003
18.89,0.8299899999999998,19,4506,84,86016,0.07190269231796265,-0.005576233845204115,-0.6703590340912342,0.0072594415,0.2,0.028076171875,332,-0.0016440948966192082,0.012225892569404095,0.0003
19.3,0.8262999999999999,19,4523,85,87040,0.0455479621887207,-0.0029641170985996723,-0.6907397247850895,0.007875342,0.2,0.074951171875,336,-0.003513864241540432,0.013700059207621962,0.0003
21.25,0.80875,19,4540,86,88064,0.07315129041671753,0.000613862182945013,-0.6594507247209549,0.0020268192,0.2,0.0,340,-0.0006847708718851209,0.012767797394189984,0.0003
