time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,train/explained_variance,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/loss,train/clip_fraction,train/approx_kl,train/clip_range
120832,27,18.17,4325,118,0.83647,0.198927640914917,-0.6508397124707699,0.016756229917518795,-0.0011323709040880203,0.0003,468,0.0002774735912680626,0.012939453125,0.0062413784,0.2
121856,28,19.78,4337,119,0.82198,0.10089468955993652,-0.6671587079763412,0.01248834969010204,-0.0013606147258542478,0.0003,472,0.0016957130283117294,0.01953125,0.0056005586,0.2
122880,28,18.71,4261,120,0.8316099999999998,0.13635212182998657,-0.6821721903979778,0.013307477871421725,-0.004080506623722613,0.0003,476,-0.00030642468482255936,0.056884765625,0.010220081,0.2
123904,28,19.68,4273,121,0.82288,0.08648252487182617,-0.6674652695655823,0.012880914902780205,-0.0043520931649254635,0.0003,480,-0.01348164677619934,0.103271484375,0.0065183425,0.2
124928,29,21.43,4284,122,0.8071299999999999,0.1045001745223999,-0.627988800406456,0.012315899424720556,-0.0025436447613174096,0.0003,484,0.0012219548225402832,0.04248046875,0.008966671,0.2
125952,29,21.73,4296,123,0.80443,0.14619719982147217,-0.6659052856266499,0.01124816876836121,-0.0033696417085593566,0.0003,488,-0.009801159612834454,0.066650390625,0.00403421,0.2
126976,29,19.79,4308,124,0.8218899999999998,0.13480961322784424,-0.6697091832756996,0.01164721418172121,-0.00043195454054512084,0.0003,492,-0.0010819812305271626,0.0,0.00017981528,0.2
128000,29,20.02,4320,125,0.81982,0.16146224737167358,-0.6321584396064281,0.01367035589646548,-0.0007324361067730933,0.0003,496,0.0021987478248775005,0.007568359375,0.0037650913,0.2
129024,29,20.73,4331,126,0.81343,0.1503310203552246,-0.6610768362879753,0.010864512471016496,-0.0006480381125584245,0.0003,500,-0.0021995301358401775,0.0,0.00045881147,0.2
130048,29,15.99,4342,127,0.8560899999999998,0.16267156600952148,-0.6582416966557503,0.01173723308602348,-0.0014075597719056532,0.0003,504,-0.0017185788601636887,0.0,0.0025189966,0.2
131072,30,17.54,4270,128,0.84214,0.2535698413848877,-0.6591677591204643,0.00961034104693681,-0.0016685694572515786,0.0003,508,-0.013819163665175438,0.017822265625,0.006439105,0.2
132096,30,19.67,4281,129,0.8229700000000001,0.1015012264251709,-0.6467783786356449,0.01713460957398638,-0.0020552207133732736,0.0003,512,0.01302377786487341,0.040283203125,0.009428314,0.2
133120,31,18.93,4292,130,0.82963,0.18956291675567627,-0.6805857680737972,0.013565070170443505,-9.73108981270343e-05,0.0003,516,-0.005773195996880531,0.0,0.0046912557,0.2
134144,31,16.95,4302,131,0.8474499999999999,0.18985313177108765,-0.6434316076338291,0.014083781454246491,-0.0010003935603890568,0.0003,520,-0.006515104789286852,0.0,0.0019322244,0.2
