time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/loss,train/explained_variance,train/learning_rate,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/value_loss,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
4887,230400,225,47,-0.01521871704608202,0.8507164716720581,0.0003,0.048583984375,0.2,-0.002528560027712956,0.0060835117,-1.3684278801083565,0.0013017688906984404,896,0.24875,249.93
4890,231424,226,47,-0.022708389908075333,0.37032490968704224,0.0003,0.02099609375,0.2,-0.0034806885523721576,0.0028762275,-1.4501168355345726,0.0020721042637887876,900,0.2605,246.06
4892,232448,227,47,-0.011210181750357151,0.5811610221862793,0.0003,0.040283203125,0.2,-0.00018017517868429422,0.002591957,-1.3799921944737434,0.005595298483967781,904,0.26658333,244.23
4894,233472,228,47,-0.01194767002016306,0.5724968910217285,0.0003,0.001708984375,0.2,-0.0022309015184873715,0.0019246631,-1.3142187595367432,0.0026557846867945045,908,0.27286110999999996,241.97
4896,234496,229,47,-0.01457469817250967,0.7777535915374756,0.0003,0.00341796875,0.2,-0.0021203942742431536,0.0016152926,-1.0928934216499329,0.001595537702087313,912,0.26397222,244.45
4898,235520,230,48,-0.01387261226773262,0.9079293608665466,0.0003,0.008056640625,0.2,-0.0004859605396632105,0.0020966143,-1.0238572098314762,0.00019282433186162962,916,0.25602778,246.95
4900,236544,231,48,-0.016002614051103592,0.7830117344856262,0.0003,0.021484375,0.2,-0.0003817545511992648,0.003630722,-1.4117331132292747,0.0002795731552396319,920,0.24177778,251.72
4902,237568,232,48,-0.010960225947201252,0.8384107351303101,0.0003,0.035888671875,0.2,-0.0018400847911834717,0.004680613,-1.4567255973815918,0.0004984752213204047,924,0.23222223,254.44
4904,238592,233,48,-0.020911285653710365,0.891782820224762,0.0003,0.0,0.2,-0.002240753878140822,0.0005698878,-1.3850401639938354,0.0004909903655061498,928,0.22497221,255.97
4906,239616,234,48,-0.013811403885483742,0.6658598184585571,0.0003,0.0,0.2,-0.0007763068861095235,0.0013550497,-1.2522211223840714,0.0069706330832559615,932,0.22044443000000002,257.24
4908,240640,235,49,-0.01140577718615532,0.8434572219848633,0.0003,0.02392578125,0.2,-0.0005367251142160967,0.0063505145,-1.3787520304322243,0.001444095149054192,936,0.21213887,259.87
4911,241664,236,49,-0.01644478552043438,0.9310966730117798,0.0003,0.024169921875,0.2,-0.0029377019964158535,0.0035284439,-1.2243767976760864,0.00034489330118958605,940,0.21313886999999998,259.15
4913,242688,237,49,-0.010969969443976879,0.8266299962997437,0.0003,0.000732421875,0.2,-0.0006223309028428048,0.0009920034,-1.176901213824749,0.002647497363795992,944,0.21422221,258.76
4915,243712,238,49,-0.012122116982936859,0.753788948059082,0.0003,0.00244140625,0.2,-0.0007860547630116343,0.0022873809,-1.2413111999630928,0.0026754251739475876,948,0.20822221,260.56
4917,244736,239,49,-0.013738594017922878,0.8777389526367188,0.0003,0.0654296875,0.2,-0.002952163471491076,0.009182674,-1.2787354812026024,0.0008376219157071318,952,0.19338887999999999,265.18
